"Data","Price","Open","Max","Min","Volume"
"18.05.2020","0,001705","0,001678","0,001721","0,001671","783,95K"
"17.05.2020","0,001684","0,001711","0,001719","0,001670","595,64K"
"16.05.2020","0,001711","0,001684","0,001720","0,001684","865,99K"
"15.05.2020","0,001686","0,001672","0,001715","0,001666","805,53K"
"14.05.2020","0,001673","0,001739","0,001739","0,001664","787,81K"
"13.05.2020","0,001744","0,001788","0,001806","0,001726","821,84K"
"12.05.2020","0,001791","0,001762","0,001839","0,001737","1,05M"
"11.05.2020","0,001760","0,001758","0,001766","0,001672","884,94K"
"10.05.2020","0,001758","0,001756","0,001777","0,001685","884,71K"
"09.05.2020","0,001763","0,001749","0,001785","0,001742","800,92K"
"08.05.2020","0,001748","0,001702","0,001753","0,001701","885,30K"
"07.05.2020","0,001702","0,001788","0,001809","0,001691","852,21K"
"06.05.2020","0,001791","0,001870","0,001881","0,001791","768,15K"
"05.05.2020","0,001871","0,001919","0,001935","0,001871","760,90K"
"04.05.2020","0,001918","0,001918","0,001957","0,001895","756,33K"
"03.05.2020","0,001922","0,001954","0,001960","0,001912","784,02K"
"02.05.2020","0,001954","0,001974","0,001982","0,001948","871,11K"
"01.05.2020","0,001978","0,001967","0,002022","0,001947","1,06M"
"30.04.2020","0,001970","0,001978","0,002019","0,001902","1,15M"
"29.04.2020","0,001981","0,002110","0,002120","0,001944","1,07M"
"28.04.2020","0,002109","0,002112","0,002131","0,002097","856,14K"
"27.04.2020","0,002112","0,002124","0,002140","0,002096","876,19K"
"26.04.2020","0,002127","0,002154","0,002157","0,002127","822,00K"
"25.04.2020","0,002153","0,002120","0,002157","0,002115","887,36K"
"24.04.2020","0,002123","0,002144","0,002156","0,002111","871,75K"
"23.04.2020","0,002147","0,002203","0,002222","0,002132","1,08M"
"22.04.2020","0,002207","0,002211","0,002227","0,002183","1,01M"
"21.04.2020","0,002209","0,002184","0,002240","0,002177","1,16M"
"20.04.2020","0,002195","0,002256","0,002283","0,002191","1,06M"
"19.04.2020","0,002254","0,002292","0,002305","0,002246","1,10M"
"18.04.2020","0,002293","0,002225","0,002307","0,002225","1,60M"
"17.04.2020","0,002225","0,002206","0,002243","0,002171","1,26M"
"16.04.2020","0,002212","0,002201","0,002265","0,002174","1,44M"
"15.04.2020","0,002199","0,002270","0,002306","0,002191","1,72M"
"14.04.2020","0,002272","0,002197","0,002301","0,002172","2,29M"
"13.04.2020","0,002196","0,002072","0,002203","0,002048","2,17M"
"12.04.2020","0,002068","0,002006","0,002085","0,002006","1,93M"
"11.04.2020","0,002008","0,001996","0,002035","0,001995","1,58M"
